text,true_emotion,predicted_emotion
#oow16 #sting decent new song,anger,joy
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,anger
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,anger
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,anger,anger
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
@LeonWobYP b***er off. NCFC is a grudge match :),anger,anger
@TrussElise Obama must be fuming.. lol,anger,anger
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger
I hope my hustle don't offend nobody,anger,sadness
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 ,anger,anger
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,fear
"Realest ever, relentless ever, inevitable that I win.",anger,anger
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
"Taking umbrage because Jimmy Carr claimed that Bilbo Baggins went to Mordor on 8 out of 10 cats does Countdown. Know your Baggins', mate.",anger,anger
"Kik to trade, have fun or a conversation  (kik: youraffair) #kik #kikme #messageme #textme #pics #trade #tradepics #dm #snap #bored",anger,joy
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
Northampton are awful 🙈,fear,anger
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points #shocking,fear,anger
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? ,fear,fear
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months #horrible,fear,sadness
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear,fear
@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,anger
"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful",fear,sadness
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,anger
"Honestly, there are some awful people on the internet... smh...",fear,anger
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,fear
@lukeshawtime terrible,fear,sadness
You want  bad service use #frontier they have #terrible service. Go to #AT&amp;T anybody is better. I am going to complain to better business,fear,anger
@CNNPolitics I can't wait to hear what he had to say about the brilliant Dr. Hawking... it should be rich... In the poorest of taste! #bully,fear,anger
The moment you bring her to meet your best friend and you're nervous af! 😬😆  #thefriendtest,fear,fear
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,fear,fear
"@AlaskaGurus @adventuretweets agreed! 😍 an awe to meet such beautiful, powerful animals.",fear,joy
"it's horrible cos no one can relate,  everyone is happy and dandy in one way or another",fear,sadness
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear,anger
A #new day to #live and #smile. Hope all the #followers a nice #night or #day. :D,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
@GameGrumps THANK YOU SO MUCH FOR COMING TO DETROIT I'm going to sob joyful rainbows now brb,joy,joy
@harrietemmett great minds think alike. #rejoice,joy,joy
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,joy,joy
@harrietemmett great minds think alike. ,joy,joy
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day. #laughter #challenge #kashmir #baloch,joy,joy
A hearty Jonza! to all my friends and follower.,joy,joy
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,sadness
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts,joy,joy
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy
Heather that was #hilarious! @MsHeatherBates @pattonoswalt @chrishansen #AnthonyWeiner #15gets20 #NYC,joy,joy
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
@OHSOVICTORIOUS_ @FaZeAdapt We all seen it coming.. it's sad. But her Instagram comments on her pics are funny. Adapts fans blew it up 😂😂😂,sadness,sadness
@kayleighmcenany  @DonaldJTrumpJr Is that really all you can offer for those who sacrifice daily to keep you safe...? @kayleighmcenany #sad,sadness,sadness
@trashcami this cured my depression,sadness,joy
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,joy
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,sadness,anger
It's basically a dead skin peel which sounds grim. But it literally gets rid of so much dead skin from your pores.,sadness,sadness
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,sadness
"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",sadness,anger
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
